years_ahead,year,financial_year,arima_point,arima_lower_95,arima_upper_95,ets_point,ets_lower_95,ets_upper_95,lm_point,lm_se,lm_lower_95,lm_upper_95,ensemble_point
1,2026,2026-27,337527,157247.88035348,517806.11964652,397593.1156160034,235055.889842143,560130.3413898638,416758.0605042017,32798.75697727065,352472.49682875123,481043.62417965214,383959.39204006834
2,2027,2027-28,337527,82573.8239832095,592480.1760167906,405288.5065569538,239605.37918110238,570971.6339328053,427220.4806722689,34767.84134326778,359075.51163946406,495365.4497050737,390011.9957430742
3,2028,2028-29,337527,25274.405228438787,649779.5947715612,412983.89749790425,244154.8644304372,581812.9305653713,437682.9008403361,37146.46403753602,364875.83132676553,510489.9703539067,396064.5994460801
